index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
584,14134,2186,3,7,7134,0
585,9488,2598,2,7,2488,0
586,10258,2173,3,8,2258,0
587,9279,2309,2,6,3279,0
588,9946,2166,3,7,2946,0
589,9873,2095,3,7,2873,0
590,10015,2095,4,7,3015,0
591,9895,2038,3,7,2895,0
592,8677,2186,2,6,2677,0
593,10004,2159,3,7,3004,0
594,9987,2060,3,7,2987,0
595,9974,2089,3,7,2974,0
596,10132,2241,3,8,2132,0
597,9902,2104,3,7,2902,0
598,9035,2286,2,6,3035,0
599,10154,2083,3,7,3154,0
600,14081,2040,8,12,2081,0
601,9440,2134,3,7,2440,0
602,9431,2186,3,7,2431,0
603,9197,2010,3,7,2197,0
604,9874,2140,3,7,2874,0
605,9978,2114,3,7,2978,0
606,9253,2131,3,7,2253,0
607,10330,2249,3,8,2330,0
608,10237,2171,3,8,2237,0
609,10087,2091,4,8,2087,0
610,10294,2115,5,8,2294,0
611,10358,2214,4,8,2358,0
612,10263,2142,4,8,2263,0
613,10175,2159,4,8,2175,0
614,10166,2078,4,8,2166,0
615,10130,2113,4,8,2130,0
616,10219,2258,3,8,2219,0
617,10305,2153,5,8,2305,0
618,10079,2190,3,8,2079,0
619,10117,2200,4,8,2117,0
620,10543,2249,5,8,2543,0
621,10630,2229,6,8,2630,0
622,10816,2211,6,8,2816,0
623,10573,2271,6,8,2573,0
624,10785,2372,5,8,2785,0
625,10700,2336,5,8,2700,0
626,10721,2200,4,8,2721,0
627,10585,2244,5,8,2585,0
628,10357,2152,6,8,2357,0
629,10223,2126,4,8,2223,0
630,10354,2207,4,8,2354,0
631,10456,2334,4,8,2456,0
632,10403,2213,4,8,2403,0
633,10414,2145,6,8,2414,0
634,10618,2200,5,8,2618,0
635,17033,6533,8,14,3033,0
636,10563,2301,5,8,2563,0
637,10709,2341,6,8,2709,0
638,10795,2225,6,8,2795,0
639,10484,2255,5,8,2484,0
640,10617,2326,4,8,2617,0
641,10602,2305,5,8,2602,0
642,10571,2200,6,8,2571,0
643,10558,2287,4,8,2558,0
644,10549,2252,5,8,2549,0
645,10806,2341,6,8,2806,0
646,10803,2392,5,8,2803,0
647,10982,2189,5,8,2982,0
648,10766,2365,5,8,2766,0
649,10797,2267,6,8,2797,0
650,10530,2257,5,8,2530,0
651,10722,2318,6,8,2722,0
652,10614,2254,5,8,2614,0
653,10558,2248,5,8,2558,0
654,10486,2176,5,8,2486,0
655,10551,2226,6,8,2551,0
656,10967,2395,6,8,2967,0
657,10859,2351,6,8,2859,0
658,10534,2228,5,8,2534,0
659,10888,2214,6,8,2888,0
660,10762,2338,5,8,2762,0
661,10704,2303,6,8,2704,0
662,10806,2296,6,8,2806,0
663,10778,2236,6,8,2778,0
664,10986,2314,6,8,2986,0
665,10770,2257,6,8,2770,0
666,10525,2306,5,8,2525,0
667,10934,2290,6,8,2934,0
668,10888,2218,6,8,2888,0
669,10740,2246,6,8,2740,0
670,10529,2200,5,8,2529,0
671,10583,2276,6,8,2583,0
672,10747,2312,5,8,2747,0
673,10583,2240,5,8,2583,0
674,10778,2260,6,8,2778,0
675,10672,2253,6,8,2672,0
676,11093,2353,6,8,3093,0
677,10806,2346,5,8,2806,0
678,10500,2219,5,8,2500,0
679,10656,2273,6,8,2656,0
680,10570,2220,6,8,2570,0
681,14975,2205,7,10,4975,0
682,10591,2442,5,8,2591,0
683,10309,2325,4,8,2309,0
684,16953,6599,7,14,2953,0
685,10626,2168,6,8,2626,0
686,10518,2233,6,8,2518,0
687,10963,2334,6,8,2963,0
688,10597,2264,4,8,2597,0
689,10681,2198,6,8,2681,0
690,10532,2230,5,8,2532,0
691,10645,2355,4,8,2645,0
692,10334,2155,4,8,2334,0
693,10484,2156,6,8,2484,0
694,10867,2298,6,8,2867,0
695,10432,2241,4,8,2432,0
696,10509,2258,5,8,2509,0
697,10590,2251,5,8,2590,0
698,10632,2233,6,8,2632,0
699,10606,2179,5,8,2606,0
700,10457,2280,5,8,2457,0
701,10690,2222,6,8,2690,0
702,10465,2166,5,8,2465,0
703,10658,2211,6,8,2658,0
704,10556,2357,5,8,2556,0
705,10552,2234,5,8,2552,0
706,10534,2263,5,8,2534,0
707,10628,2210,5,8,2628,0
708,10568,2309,5,8,2568,0
709,10356,2320,4,8,2356,0
710,10771,2398,5,8,2771,0
711,10485,2262,5,8,2485,0
712,10609,2127,5,8,2609,0
713,10324,2335,4,8,2324,0
714,10534,2304,5,8,2534,0
715,10618,2229,5,8,2618,0
716,10484,2233,5,8,2484,0
717,10666,2514,4,8,2666,0
718,10342,2293,4,8,2342,0
719,10501,2236,5,8,2501,0
720,10386,2151,5,8,2386,0
721,10741,2292,5,8,2741,0
722,10512,2260,5,8,2512,0
723,10664,2330,4,8,2664,0
724,10723,2291,5,8,2723,0
