index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
797,28111,2568,12,25,3111,9
798,31143,2418,10,28,3143,14
799,15502,2352,6,12,3502,3
800,30138,2694,11,27,3138,12
801,15401,2482,6,13,2401,3
802,17267,2708,7,14,3267,2
803,29562,2405,11,26,3562,12
804,30904,2616,11,28,2904,13
805,29529,2699,12,27,2529,10
806,61379,13265,37,58,3379,7
807,30801,2487,14,28,2801,10
808,30290,2565,11,27,3290,12
809,47503,2335,37,44,3503,3
810,46337,2450,16,27,19337,7
811,29011,4036,12,26,3011,9
812,16564,2340,6,14,2564,5
813,15087,2268,6,12,3087,4
814,15153,2370,6,12,3153,4
815,15132,2269,6,12,3132,4
816,16665,2354,6,14,2665,5
817,92810,33562,12,59,33810,13
818,46564,2425,36,44,2564,4
819,44931,2326,36,42,2931,3
820,47118,2230,36,44,3118,5
821,32915,2297,23,30,2915,2
822,13994,3068,6,11,2994,2
823,15441,2359,6,12,3441,3
824,20299,2253,6,12,8299,3
825,25981,2813,6,23,2981,13
826,14924,2281,6,12,2924,3
827,15523,2113,5,13,2523,5
828,15750,2501,6,13,2750,3
829,16191,2911,6,13,3191,4
830,31661,2199,12,29,2661,13
831,15473,2191,6,13,2473,4
832,15180,2397,6,12,3180,4
833,30515,2321,9,28,2515,15
834,15810,2594,6,13,2810,3
835,14987,2421,6,12,2987,2
836,38287,19418,5,29,9287,2
837,23531,2515,14,21,2531,3
838,47227,2415,37,45,2227,4
839,77849,33535,6,44,33849,3
840,47375,2557,37,44,3375,4
841,45482,2366,37,43,2482,3
842,46773,2476,37,44,2773,3
843,78339,2383,37,44,34339,4
844,45891,2441,6,12,33891,2
845,45607,2732,6,11,34607,2
846,46988,2611,37,44,2988,4
847,46999,2302,37,44,2999,3
848,44649,33886,6,42,2649,1
849,78482,33625,37,75,3482,3
850,45149,2575,37,42,3149,1
851,46086,2626,37,43,3086,2
852,78510,33534,37,75,3510,3
853,46692,2537,37,44,2692,3
854,46763,2688,37,44,2763,2
855,76294,33791,6,42,34294,1
856,46527,2559,37,43,3527,3
857,46682,2602,37,44,2682,3
858,60405,3940,37,57,3405,14
859,77465,34079,6,43,34465,2
860,46755,2754,37,44,2755,2
861,45748,2686,37,43,2748,2
