elapsed_s,rss_bytes,private_bytes,cpu_s
597.906,18292736,6320128,19.3125
598.92,18292736,6320128,19.34375
599.931,18292736,6320128,19.390625
600.947,18309120,6348800,19.421875
601.961,18309120,6348800,19.453125
602.973,18309120,6348800,19.484375
603.983,18309120,6348800,19.546875
604.998,18309120,6348800,19.671875
606.021,18309120,6348800,19.6875
607.034,18309120,6348800,19.6875
608.046,18309120,6348800,19.75
609.061,18309120,6348800,19.796875
610.078,18309120,6348800,19.796875
611.09,18309120,6348800,19.828125
612.106,18309120,6348800,19.859375
613.117,18309120,6348800,19.875
614.136,18309120,6348800,19.9375
615.15,18309120,6348800,19.953125
616.17,18309120,6348800,20.0625
617.179,18309120,6348800,20.109375
618.191,18309120,6348800,20.140625
619.207,18309120,6348800,20.1875
620.216,18309120,6348800,20.21875
621.239,18309120,6348800,20.21875
622.261,18309120,6348800,20.265625
623.283,18309120,6348800,20.28125
624.294,18309120,6348800,20.296875
625.303,18309120,6348800,20.328125
626.316,18309120,6348800,20.34375
627.327,18309120,6348800,20.375
628.336,18309120,6348800,20.4375
629.354,18309120,6348800,20.453125
630.37,18309120,6348800,20.515625
631.384,18309120,6348800,20.546875
632.397,18309120,6348800,20.5625
633.411,18309120,6348800,20.59375
634.43,18309120,6348800,20.640625
635.45,18309120,6348800,20.671875
636.465,18309120,6348800,20.75
637.481,18309120,6348800,20.78125
638.495,18309120,6348800,20.84375
639.509,18309120,6348800,20.9375
640.524,18309120,6348800,21.046875
641.556,18309120,6348800,21.109375
